id,screen_name,avg_tweets_per_day,posting_rate_consistency,high_volume_flag,bio_length,bio_word_count,bio_lexical_diversity,bio_has_url,bio_hashtag_count,bio_mention_count,bio_exclaim_ratio,bio_sentiment_score,has_description,followers_count,friends_count,follower_friend_ratio,favourites_count,favourites_per_day,account_age_days,verified,default_profile,default_profile_image,geo_enabled,has_location,has_lang,label
519045260,azizhadlaq2010,8.547,0.00016369529983784048,0,42,6,1.0,0,0,0,0.0,0,1,249184,984,253.2357723577236,171,0.055429497568881686,3085,0,1,0,0,1,1,0
115343506,najamwalikhan,2.679,0.00025162972620584867,0,36,8,1.0,0,0,0,0.0,0,1,5362,355,15.104225352112676,7612,1.9848761408083442,3835,0,0,0,1,1,1,0
2166882457,TheOnlyMsV,2.286,0.0004583165525575694,0,89,17,0.9411764705882353,0,0,0,0.0,0,1,704,598,1.1772575250836121,6184,2.490535642368103,2483,0,1,0,0,0,1,0
381157528,gabbs_01,0.856,8.866995073886219e-05,0,20,3,1.0,0,0,0,0.0,0,1,64,156,0.41025641025641024,2361,0.7269088669950738,3248,0,0,0,1,1,1,1
721944734,effort7879,0.006,0.00045380434782608687,0,38,5,1.0,1,0,0,0.0,0,1,3,0,0.0,125,0.042459239130434784,2944,0,1,0,0,0,1,1
3392143521,LilDogBigPhilly,0.723,0.0004848484848485324,0,131,23,0.8695652173913043,0,0,0,0.0,0,1,267,246,1.0853658536585367,915,0.49512987012987014,1848,0,0,0,1,1,1,0
23330998,hxhassan,15.919,0.00039727337957451425,0,143,15,1.0,1,0,4,0.0,0,1,108660,1247,87.13712910986368,13869,3.317149007414494,4181,1,0,0,1,1,1,0
63176889,Violetworld,6.929,0.0004462912428682131,0,155,20,0.9523809523809523,0,0,0,0.1,1,1,387,328,1.1798780487804879,2554,0.6335896799801538,4031,0,0,0,0,1,1,0
239861947,Halena85,8.598,0.0,0,52,13,0.5833333333333334,0,0,0,0.07692307692307693,0,1,276,509,0.5422396856581533,50242,14.354857142857142,3500,0,1,0,1,0,1,0
21758143,MaverickSabre,8.066,0.00017600763176872647,0,104,11,1.0,1,0,1,0.0,0,1,157466,1031,152.7313288069835,16011,3.8185070355354163,4193,1,0,0,1,1,1,0
765944091385421824,nikonovasvyato1,0.911,8.071135430909315e-05,0,114,14,0.9333333333333333,0,0,0,0.0,0,1,12,11,1.0909090909090908,1332,0.9110807113543091,1462,0,1,0,0,0,1,1
19923144,NBA,61.619,0.00025741399763035133,1,13,1,1.0,0,1,0,0.0,0,1,30999003,1748,17733.983409610984,618,0.14661921708185052,4215,1,0,0,1,0,1,1
235667666,AlexNunez__,19.993,0.0001623931623946362,1,0,0,0.0,0,0,0,0.0,0,0,1300,1137,1.1433597185576077,722,0.2056980056980057,3510,0,0,0,1,0,0,0
1191444692,TheJakobmurphy,1.303,3.030303030304715e-05,0,90,16,0.875,0,0,1,0.0,1,1,184,436,0.42201834862385323,109753,40.07046367287331,2739,0,0,0,0,0,1,0
2499018968,bkatcap,3.135,0.0001706036745408035,0,0,0,0.0,0,0,0,0.0,0,0,338,743,0.4549125168236878,2896,1.2668416447944006,2286,0,0,0,1,0,0,0
557842655,DMInteriorsFA,1.227,0.0002500821557673838,0,146,21,0.9047619047619048,0,0,0,0.047619047619047616,0,1,93,233,0.39914163090128757,1,0.00032862306933946765,3043,0,0,0,0,1,1,0
23331044,EdwardCAddict,1.346,0.00038890217651288417,0,23,6,0.8333333333333334,0,0,0,0.3333333333333333,0,1,108,0,0.0,2583,0.6177947859363788,4181,0,0,0,0,1,1,1
321388777,Gotaga,11.628,0.0003849372384934213,0,89,13,1.0,0,0,2,0.0,0,1,1285743,850,1512.6388235294119,9955,2.9751942618051403,3346,1,0,0,1,1,1,0
298320111,chandlerriggs,0.774,0.0002924667651403867,0,9,2,1.0,0,0,0,0.0,0,1,1541148,628,2454.0573248407645,2925,0.8641063515509602,3385,1,1,0,1,1,1,0
51904755,mu2060,0.444,8.945686900957428e-05,0,3,1,1.0,0,0,0,0.0,0,1,25,851,0.02937720329024677,1325,0.3256328336200541,4069,0,0,0,0,0,0,1
243794165,Priceyd101,2.787,0.0004059008879977455,0,66,7,1.0,0,0,1,0.0,0,1,101576,286,355.16083916083915,5023,1.4388427384703524,3491,0,0,0,0,1,1,0
2918711542,TinoVale23,1.498,7.321772639690138e-05,0,58,12,1.0,0,0,0,0.0,0,1,317,413,0.7675544794188862,253,0.12186897880539499,2076,0,0,0,1,1,1,1
123470069,csangsangmadang,9.645,0.0002113415594635626,0,0,0,0.0,0,0,0,0.0,0,0,164313,5577,29.462614308768156,0,0.0,3809,0,0,0,0,1,0,0
2943615224,sexy_sitagigazo,1.656,0.0001589917595734569,0,47,1,1.0,0,0,0,0.0,0,1,916,0,0.0,0,0.0,2063,0,1,0,0,0,1,1
127664378,MaestroMarley,1.615,0.0002832674571804361,0,86,10,1.0,0,0,2,0.0,0,1,179268,867,206.7681660899654,708,0.1865612648221344,3795,1,0,0,1,1,1,0
